state,date,sex,ethnicity,abs,population
Terengganu,1/1/2017,both,overall,7048,
Terengganu,1/1/2018,both,overall,7099,
Terengganu,1/1/2019,both,overall,7341,
Terengganu,1/1/2020,both,overall,6736,
Terengganu,1/1/2021,both,overall,8469,
Terengganu,1/1/2022,both,overall,8686,1186.6
Terengganu,1/1/2023,both,overall,7857,1210
Kuala Lumpur,1/1/2000,both,overall,5492,
Kuala Lumpur,1/1/2001,both,overall,5746,
Kuala Lumpur,1/1/2002,both,overall,6058,
Kuala Lumpur,1/1/2003,both,overall,5888,
Kuala Lumpur,1/1/2004,both,overall,5750,
Kuala Lumpur,1/1/2005,both,overall,5635,
Kuala Lumpur,1/1/2006,both,overall,5791,
Kuala Lumpur,1/1/2007,both,overall,6015,
Kuala Lumpur,1/1/2008,both,overall,6164,
Kuala Lumpur,1/1/2009,both,overall,6470,
Kuala Lumpur,1/1/2010,both,overall,6465,
Kuala Lumpur,1/1/2011,both,overall,6927,
Kuala Lumpur,1/1/2012,both,overall,6996,
Kuala Lumpur,1/1/2013,both,overall,7183,
Kuala Lumpur,1/1/2014,both,overall,7647,
Kuala Lumpur,1/1/2015,both,overall,7608,
Kuala Lumpur,1/1/2016,both,overall,8077,
Kuala Lumpur,1/1/2017,both,overall,8205,
Kuala Lumpur,1/1/2018,both,overall,8485,
Kuala Lumpur,1/1/2019,both,overall,8845,
Kuala Lumpur,1/1/2020,both,overall,8334,
Kuala Lumpur,1/1/2021,both,overall,13334,
Kuala Lumpur,1/1/2022,both,overall,9962,1961.2
Kuala Lumpur,1/1/2023,both,overall,9646,2005.7
Labuan,1/1/2000,both,overall,167,
Labuan,1/1/2001,both,overall,159,
Labuan,1/1/2002,both,overall,200,
Labuan,1/1/2003,both,overall,220,
Labuan,1/1/2004,both,overall,212,
Labuan,1/1/2005,both,overall,209,
Labuan,1/1/2006,both,overall,208,
Labuan,1/1/2007,both,overall,204,
Labuan,1/1/2008,both,overall,243,
Labuan,1/1/2009,both,overall,247,
Labuan,1/1/2010,both,overall,243,
Labuan,1/1/2011,both,overall,218,
Labuan,1/1/2012,both,overall,242,
Labuan,1/1/2013,both,overall,245,
Labuan,1/1/2014,both,overall,274,
Labuan,1/1/2015,both,overall,246,
Labuan,1/1/2016,both,overall,277,
Labuan,1/1/2017,both,overall,247,
Labuan,1/1/2018,both,overall,287,
Labuan,1/1/2019,both,overall,298,
Labuan,1/1/2020,both,overall,319,
Labuan,1/1/2021,both,overall,517,
Labuan,1/1/2022,both,overall,392,96.9
Labuan,1/1/2023,both,overall,333,99
Putrajaya,1/1/2010,both,overall,95,
Putrajaya,1/1/2011,both,overall,113,
Putrajaya,1/1/2012,both,overall,142,
Putrajaya,1/1/2013,both,overall,164,
Putrajaya,1/1/2014,both,overall,194,
Putrajaya,1/1/2015,both,overall,193,
Putrajaya,1/1/2016,both,overall,163,
Putrajaya,1/1/2017,both,overall,229,
Putrajaya,1/1/2018,both,overall,218,
Putrajaya,1/1/2019,both,overall,209,
Putrajaya,1/1/2020,both,overall,211,
Putrajaya,1/1/2021,both,overall,266,
Putrajaya,1/1/2022,both,overall,253,117
Putrajaya,1/1/2023,both,overall,284,118.8
